zipcode,state,total_population,total_properties,fema_properties_at_risk_2020_total,fema_properties_at_risk_2020_pct,fs_properties_at_risk_2020_total,fs_properties_at_risk_2020_pct,fs_properties_at_risk_2035_total,fs_properties_at_risk_2035_pct,fs_properties_at_risk_2050_total,fs_properties_at_risk_2050_pct,fs_fema_difference_2020_total,fs_fema_difference_2020_pct,gisjoin,year,name_e,white_pop,black_pop,white_pct,black_pct
33982,fl,11025,14369,2050,14.3,6118,42.6,6744,46.9,7371,51.3,4068,198.4,G33982,2014-2018,ZCTA5 33982,10581,225,95.97278911564626,2.0408163265306123
78537,tx,47346,15609,274,1.8,4325,27.7,4359,27.9,4393,28.1,4051,1478.5,G78537,2014-2018,ZCTA5 78537,40336,106,85.19410298652473,0.22388374941916953
14150,ny,40825,16786,94,0.6,4143,24.7,4302,25.6,4461,26.6,4049,4307.4,G14150,2014-2018,ZCTA5 14150,36734,1462,89.97917942437232,3.5811390079608083
97303,or,40633,11048,755,6.8,4793,43.4,4986,45.1,5180,46.9,4038,534.8,G97303,2014-2018,ZCTA5 97303,34272,139,84.3452366303251,0.3420864814313489
21842,md,10669,11289,3673,32.5,7636,67.6,7988,70.8,8341,73.9,3963,107.9,G21842,2014-2018,ZCTA5 21842,10050,263,94.19814415596588,2.4650857624894553
33134,fl,41861,10395,281,2.7,4240,40.8,4510,43.4,4780,46,3959,1408.9,G33134,2014-2018,ZCTA5 33134,39292,697,93.86302286137455,1.6650342801175317
28734,nc,26935,28947,844,2.9,4803,16.6,4856,16.8,4908,17,3959,469.1,G28734,2014-2018,ZCTA5 28734,25073,446,93.08706144421757,1.6558381288286617
14211,ny,21900,11442,3,0,3954,34.6,3974,34.7,3995,34.9,3951,131700,G14211,2014-2018,ZCTA5 14211,3392,15815,15.488584474885844,72.21461187214612
60622,il,52793,12058,0,0,3944,32.7,3983,33,4022,33.4,3944,Inf,G60622,2014-2018,ZCTA5 60622,41414,3553,78.44600609929347,6.7300589093251
34997,fl,44018,27521,1256,4.6,5133,18.7,5879,21.4,6625,24.1,3877,308.7,G34997,2014-2018,ZCTA5 34997,38992,2104,88.58194375028397,4.779862783406788
08015,nj,19585,36328,3806,10.5,7678,21.1,7792,21.4,7905,21.8,3872,101.7,G08015,2014-2018,ZCTA5 08015,13007,3876,66.4130712279806,19.790656114373245
77518,tx,10684,4096,96,2.3,3946,96.3,3998,97.6,4051,98.9,3850,4010.4,G77518,2014-2018,ZCTA5 77518,9033,201,84.5469861475103,1.8813178584799701
92260,ca,34225,21115,71,0.3,3919,18.6,3922,18.6,3925,18.6,3848,5419.7,G92260,2014-2018,ZCTA5 92260,28143,925,82.22936449963477,2.7027027027027026
77044,tx,45885,19350,504,2.6,4330,22.4,4434,22.9,4539,23.5,3826,759.1,G77044,2014-2018,ZCTA5 77044,29570,12897,64.44371799062874,28.107224583197123
98371,wa,21305,8512,324,3.8,4124,48.4,4168,49,4212,49.5,3800,1172.8,G98371,2014-2018,ZCTA5 98371,17961,524,84.30415395447078,2.459516545411875
